reference,function,quantity,candidate,minimum_requirement,status,evidence
J1-Jn,Power connectors,TBD,Anderson SB50 with 8 AWG silver contacts,"600 V; 50 A CSA rating; keyed colors and enclosure boots assigned during layout",REFERENCE_CANDIDATE,Anderson SB50 datasheet
U9-U10,PV and DC-bus voltage buffer,2,OPA320AQDBVRQ1G4,"1.8-5.5 V RRIO; 20 MHz; 0.9 pA maximum input bias; drives ADC input filter",REFERENCE_CANDIDATE,TI OPA320-Q1 product data and analog front-end calculation
U11-U12,Isolated AC voltage amplifier,2,AMC3330QDWERQ1,"Reinforced isolation; integrated isolated DC/DC; +/-1 V input; fixed gain 2",REFERENCE_CANDIDATE,TI AMC3330-Q1 Rev B datasheet and analog front-end calculation
U14-U15,Isolated-amplifier ADC driver,2,OPA320AQDBVRQ1G4,"0.75 V/V differential-to-single-ended stage centered at 1.65 V",REFERENCE_CANDIDATE,TI AMC3330-Q1 application circuit and analog front-end calculation
UREF,Live-zero reference buffer,1,OPA320AQDBVRQ1G4,"Buffers 105 mV ratiometric reference for PV and DC-bus divider returns",REFERENCE_CANDIDATE,Analog front-end calculation
U13,Heatsink temperature sensor,1,TMP235AEDBZRQ1,"-40 to 150 deg C; 500 mV at 0 deg C; nominal 10 mV/deg C",REFERENCE_CANDIDATE,TI TMP235-Q1 Rev D datasheet
UEN1-UEN8,PWM hardware interlock gate,3,"1 x SN74HCS21QPWRQ1 plus 2 x SN74LVC08AQPWRG4Q1","Four safety terms generate shared enable; eight independent PWM channels are AND-gated",REFERENCE_CANDIDATE,TI logic datasheets and gate-drive calculation
UTRIP,Hardware trip latch and combiner,1,SN74HCS02QPWRQ1,"Asynchronous NOR latch combines PV DC and grid overcurrent plus emergency stop; manual reset only",REFERENCE_CANDIDATE,TI logic datasheet and protection architecture
UBIAS,Gate-bias supervisor,1,TPS3700QDSERQ1,"Adjustable 18 V window monitor; open-drain outputs qualify the 12 V gate rail",REFERENCE_CANDIDATE,TI TPS3700-Q1 datasheet
URS485,Isolated RS-485 transceiver,1,ISO1410 or equivalent,"3.3 V logic; galvanically isolated bus; 9600 baud half duplex",REFERENCE_CANDIDATE,SunSpec RTU architecture
KPRE,Precharge relay,1,TBD,"At least 80 VDC contact rating and 12 V coil; coordinated with 47 ohm resistor",SELECTION_PENDING,Precharge calculation
KAC,AC grid contactor,1,Omron G9KA-1A1B-E DC12,"Normally-open main contact; 12 V coil; mirror auxiliary contact; coil hold-voltage reduction required",REFERENCE_CANDIDATE,Omron G9KA datasheet
QKPRE/QK1/QKAC,Relay coil low-side MOSFET,3,PMV37ENEA,"60 V logic-level N-channel; final coil current and thermal check required",REFERENCE_CANDIDATE,Nexperia product data
DKPRE/DK1/DKAC,Relay flyback diode,3,MURS120T3G,"200 V 1 A ultrafast rectifier; 40 A surge",REFERENCE_CANDIDATE,onsemi datasheet
RG1-RG8,Gate resistor,8,TBD,"Initial 5 to 15 ohm range with diode tuning footprint",TUNING_REQUIRED,Double-pulse test plan
RGS1-RGS8,Gate-source pulldown,8,10 kohm,"Maintains MOSFET off during reset and disconnected controller",REFERENCE_VALUE,Gate-driver interlock architecture
CB1-CB4,Bootstrap capacitor,4,100 nF 5% 50 V C0G,"Worst-case bootstrap voltage 9.65 V at 98% duty; place at HB-HS pins",REFERENCE_VALUE,UCC27211A datasheet and gate-drive calculation
CIN,PV input capacitor bank,1,TBD,"80 V minimum; ripple current and local commutation loop verified",ENGINEERING_REQUIRED,Power-stage layout
JCTRL,Controller mezzanine connector,1,TBD,"Carries eight PWM eight ADC safety relay and serial signals with assigned returns",MECHANICAL_PENDING,Connectivity netlist and LaunchPad pin allocation
JCOM,RS-485 connector,1,TBD,"A B and isolated reference; termination footprint at bus end",MECHANICAL_PENDING,Communications architecture
JBIAS,Bias and auxiliary power connector,1,TBD,"12 V gate drive 12 V relay 5 V isolated sensor and 3.3 V rails",MECHANICAL_PENDING,Connectivity netlist
